Epoch: [ 1/11] [   0/   2] time: 21.3648, d_loss: 621.13879395, g_loss: 0.00000000
Epoch: [ 1/11] [   1/   2] time: 28.1699, d_loss: 528.48577881, g_loss: 0.00000000
Epoch: [ 2/11] [   0/   2] time: 35.0407, d_loss: 163.37472534, g_loss: 0.00000000
Epoch: [ 2/11] [   1/   2] time: 41.7323, d_loss: 429.75039673, g_loss: 0.00000000
Epoch: [ 0/100] [   0/   1] time: 240.5562, d_loss: 399.48641968, g_loss: 0.00000000
Epoch: [ 1/100] [   0/   1] time: 243.3062, d_loss: 166.80044556, g_loss: 0.00000000
Epoch: [ 2/100] [   0/   1] time: 244.1318, d_loss: 454.58435059, g_loss: 0.00000000
Epoch: [ 3/100] [   0/   1] time: 244.9370, d_loss: 68.39936829, g_loss: 0.09540059
Epoch: [ 4/100] [   0/   1] time: 245.7421, d_loss: 159.53285217, g_loss: 0.00096879
Epoch: [ 5/100] [   0/   1] time: 246.5446, d_loss: 215.76338196, g_loss: 0.00000000
Epoch: [ 6/100] [   0/   1] time: 247.3409, d_loss: 252.23663330, g_loss: 0.00000000
Epoch: [ 7/100] [   0/   1] time: 248.1776, d_loss: 155.95846558, g_loss: 15.51176167
Epoch: [ 8/100] [   0/   1] time: 248.9842, d_loss: 306.67858887, g_loss: 0.00000000
Epoch: [ 9/100] [   0/   1] time: 249.7963, d_loss: 309.00851440, g_loss: 0.00000000
Epoch: [10/100] [   0/   1] time: 250.6105, d_loss: 492.30874634, g_loss: 0.00000000
Epoch: [11/100] [   0/   1] time: 251.4181, d_loss: 191.09951782, g_loss: 0.00000000
Epoch: [12/100] [   0/   1] time: 252.2333, d_loss: 28.22124100, g_loss: 0.00000055
Epoch: [13/100] [   0/   1] time: 253.0414, d_loss: 98.86757660, g_loss: 0.00000000
Epoch: [14/100] [   0/   1] time: 253.8561, d_loss: 277.00634766, g_loss: 0.00000000
Epoch: [15/100] [   0/   1] time: 254.6637, d_loss: 184.76766968, g_loss: 0.00000000
Epoch: [16/100] [   0/   1] time: 255.4798, d_loss: 208.51269531, g_loss: 0.00000000
Epoch: [17/100] [   0/   1] time: 256.3230, d_loss: 193.28503418, g_loss: 0.00000000
Epoch: [18/100] [   0/   1] time: 257.1436, d_loss: 475.98937988, g_loss: 0.00000000
Epoch: [19/100] [   0/   1] time: 257.9638, d_loss: 210.60525513, g_loss: 0.00000000
Epoch: [20/100] [   0/   1] time: 258.7939, d_loss: 273.77197266, g_loss: 0.00000000
Epoch: [21/100] [   0/   1] time: 259.6136, d_loss: 0.00000000, g_loss: 269.95471191
Epoch: [22/100] [   0/   1] time: 260.4302, d_loss: 423.14196777, g_loss: 0.00000000
Epoch: [23/100] [   0/   1] time: 261.2469, d_loss: 0.00000012, g_loss: 116.93788147
Epoch: [24/100] [   0/   1] time: 262.0740, d_loss: 172.37306213, g_loss: 0.00000000
Epoch: [25/100] [   0/   1] time: 262.8901, d_loss: 304.83868408, g_loss: 0.00000000
Epoch: [26/100] [   0/   1] time: 263.7108, d_loss: 266.66766357, g_loss: 0.00000000
Epoch: [27/100] [   0/   1] time: 264.5234, d_loss: 179.05215454, g_loss: 0.00000000
Epoch: [28/100] [   0/   1] time: 265.3466, d_loss: 0.00000000, g_loss: 167.85290527
Epoch: [29/100] [   0/   1] time: 266.1572, d_loss: 109.18449402, g_loss: 0.00000000
Epoch: [30/100] [   0/   1] time: 266.9752, d_loss: 0.00000000, g_loss: 398.92443848
Epoch: [31/100] [   0/   1] time: 267.8015, d_loss: 81.71291351, g_loss: 38.84553528
Epoch: [32/100] [   0/   1] time: 268.6226, d_loss: 0.00000000, g_loss: 467.95437622
Epoch: [33/100] [   0/   1] time: 269.4573, d_loss: 0.02217200, g_loss: 143.10604858
Epoch: [34/100] [   0/   1] time: 270.2794, d_loss: 7.87606287, g_loss: 387.21429443
Epoch: [35/100] [   0/   1] time: 271.0816, d_loss: 0.00000000, g_loss: 419.93511963
Epoch: [36/100] [   0/   1] time: 271.8850, d_loss: 0.00000000, g_loss: 168.43540955
Epoch: [37/100] [   0/   1] time: 272.7014, d_loss: 0.00000000, g_loss: 353.42608643
Epoch: [38/100] [   0/   1] time: 273.5080, d_loss: 0.00000000, g_loss: 226.29840088
Epoch: [39/100] [   0/   1] time: 274.3282, d_loss: 138.40780640, g_loss: 0.00000000
Epoch: [40/100] [   0/   1] time: 275.1363, d_loss: 0.00000000, g_loss: 290.72314453
Epoch: [41/100] [   0/   1] time: 275.9474, d_loss: 165.06617737, g_loss: 0.00000000
Epoch: [42/100] [   0/   1] time: 276.7606, d_loss: 0.00000000, g_loss: 406.18328857
Epoch: [43/100] [   0/   1] time: 277.5742, d_loss: 492.31167603, g_loss: 0.00000000
Epoch: [44/100] [   0/   1] time: 278.3784, d_loss: 0.00000000, g_loss: 444.62664795
Epoch: [45/100] [   0/   1] time: 279.1910, d_loss: 222.65402222, g_loss: 0.00000000
